"lengths"	"start"	"cumul"
"550"	1028	0.363611121111111	1286175
"551"	727	0.365555565555556	1286902
"552"	939	0.36750001	1287841
"553"	4160	0.368611121111111	1292001
"554"	1302	0.37000001	1293303
"555"	1018	0.370277787777778	1294321
"556"	711	0.370833343333333	1295032
"557"	2168	0.371388898888889	1297200
"558"	660	0.372222232222222	1297860
"559"	2266	0.372222232222222	1300126
"560"	3584	0.373055565555556	1303710
"561"	4985	0.373611121111111	1308695
"562"	1492	0.375277787777778	1310187
"563"	1549	0.376111121111111	1311736
"564"	1432	0.378055565555556	1313168
"565"	6273	0.38000001	1319441
"566"	6498	0.381388898888889	1325939
"567"	1092	0.384166676666667	1327031
"568"	2248	0.386666676666667	1329279
"569"	4386	0.388888898888889	1333665
"570"	4390	0.389444454444444	1338055
"571"	1271	0.390277787777778	1339326
"572"	5378	0.391388898888889	1344704
"573"	457	0.399166676666667	1345161
"574"	3627	0.401944454444444	1348788
"575"	525	0.403888898888889	1349313
"576"	915	0.403888898888889	1350228
"577"	2781	0.406111121111111	1353009
"578"	8358	0.408888898888889	1361367
"579"	3971	0.410555565555556	1365338
"580"	3378	0.411111121111111	1368716
"581"	3662	0.414444454444444	1372378
"582"	773	0.415277787777778	1373151
"583"	1336	0.419444454444444	1374487
"584"	2897	0.419722232222222	1377384
"585"	1075	0.421666676666667	1378459
"586"	3326	0.422777787777778	1381785
"587"	2312	0.423888898888889	1384097
"588"	5690	0.423888898888889	1389787
"589"	2365	0.425277787777778	1392152
"590"	4856	0.425833343333333	1397008
"591"	8907	0.429166676666667	1405915
"592"	8061	0.429722232222222	1413976
"593"	942	0.430277787777778	1414918
"594"	1510	0.435555565555556	1416428
"595"	3268	0.436388898888889	1419696
"596"	3715	0.436388898888889	1423411
"597"	3550	0.439722232222222	1426961
"598"	1324	0.440277787777778	1428285
"599"	1424	0.444444454444444	1429709
"600"	1196	0.445833343333333	1430905
"601"	598	0.447777787777778	1431503
"602"	554	0.448055565555556	1432057
"603"	10214	0.448888898888889	1442271
"604"	1986	0.449722232222222	1444257
"605"	2173	0.449722232222222	1446430
"606"	2957	0.450833343333333	1449387
"607"	4582	0.451944454444444	1453969
"608"	726	0.452222232222222	1454695
"609"	1782	0.455555565555556	1456477
"610"	550	0.456388898888889	1457027
"611"	511	0.456666676666667	1457538
"612"	5353	0.458055565555556	1462891
"613"	1520	0.458333343333333	1464411
"614"	2561	0.458888898888889	1466972
"615"	2586	0.458888898888889	1469558
"616"	2808	0.459444454444444	1472366
"617"	4230	0.460277787777778	1476596
"618"	1067	0.462222232222222	1477663
"619"	488	0.468611121111111	1478151
"620"	1046	0.468888898888889	1479197
"621"	441	0.471111121111111	1479638
"622"	2099	0.471944454444444	1481737
"623"	3973	0.473055565555556	1485710
"624"	1147	0.473333343333333	1486857
"625"	2536	0.474722232222222	1489393
"626"	2022	0.475277787777778	1491415
"627"	5178	0.47750001	1496593
"628"	554	0.477777787777778	1497147
"629"	5397	0.477777787777778	1502544
"630"	3277	0.478611121111111	1505821
"631"	456	0.478888898888889	1506277
"632"	1251	0.481944454444444	1507528
"633"	723	0.48500001	1508251
"634"	4680	0.488055565555556	1512931
"635"	2871	0.488611121111111	1515802
"636"	6728	0.491111121111111	1522530
"637"	732	0.493055565555556	1523262
"638"	825	0.496666676666667	1524087
"639"	847	0.496944454444444	1524934
"640"	4382	0.500555565555556	1529316
"641"	316	0.501111121111111	1529632
"642"	3300	0.505555565555556	1532932
"643"	1016	0.506666676666667	1533948
"644"	927	0.51500001	1534875
"645"	942	0.51500001	1535817
"646"	1310	0.516388898888889	1537127
"647"	1067	0.519166676666667	1538194
"648"	1142	0.519166676666667	1539336
"649"	1234	0.519722232222222	1540570
"650"	2313	0.519722232222222	1542883
"651"	4903	0.525833343333333	1547786
"652"	6588	0.525833343333333	1554374
"653"	1385	0.526944454444444	1555759
